contrato,linea,actualLargo,nuevoCorto,colorOperativo
XG881,12,Hospital Abente y Lago-Aeroporto de A Coruña,A4,#009846
XG881,14,Teatro Colón-Urbanizacion Monte Xalo,A8,#009846
XG881,15,Urbanizacion Monte Xalo-Teatro Colón,A8,#009846
XG881,16,Teatro Colón-A Silva,C1,#009846
XG881,17,Meirama-Ordes,D4,#009846
XG881,18,Teatro Colón-Univers. Laboral-Os Campons,A1,#008DD2
XG881,19,Univers. Laboral-A Cabana-Os Campons-Carral Panteon-Tabeaio,D1,#008DD2
XG881,21,Teatro Colón-Orro-Ledoño-Peiro Canteiro,B17,#009846
XG881,22,Peiro Canteiro-Ledoño-Orro-Teatro Colón,B17,#009846
XG881,23,Teatro Colón-Ledoño-Bregua-Peiro Canteiro,B18,#009846
XG881,24,Peiro Canteiro-Bregua-Ledoño-Teatro Colón,B18,#009846
XG881,26,Soñeiro-Teatro Colón,B4,#E31E23
XG881,27,Pousada 2-Teatro Colón,B5,#E31E23
XG881,31,Sada hotel Sada Palace-Armuño-Pol. Ind. Esp. Santo-Soñeiro-Sada hotel Sada,D9,#2B2A29
XG881,32,Teatro Colón-Santa Cruz-Pousada 4 residencia,B10,#FFDD00
XG881,33,Soñeiro-Franzomel-Santa Cruz-Teatro Colón,B11,#FFDD00
XG881,34,Teatro Colón-Sta. María de Vigo,A6,#009846
XG881,35,Teatro Colón-Tarrio,A9,#009846
XG881,37,Teatro Colón-Cambre-A Patiña,A2,#008DD2
XG881,38,Teatro Colón-A Barcala-Cambre-Lema,A3,#008DD2
XG881,39,Hospital Abente y Lago-Sta. María de Vigo,B16,#009846
XG881,40,Hospital Abente y Lago-Sada hotel Sada Palace,B7,#E31E23
XG881,41,Hospital Abente y Lago-Cambre-A Patiña II,B2,#008DD2
XG881,42,A Barcala-Arteixo (por polígonos),D2,#008DD2
XG881,43,Aeroporto de A Coruña-Aeroporto de A Coruña (Circular por O Burgo),D3,#008DD2
XG881,45,Teatro Colón-Carral Panteon,A7,#009846
XG881,46,Teatro Colón-Parque acuático Cerceda,C2,#009846
XG881,47,Sada hotel Sada Palace-C.saúde Sada-Betanzos praza,D8,#2B2A29
XG881,48,Betanzos praza-C.saúde Sada-Sada hotel Sada Palace,D8,#2B2A29
XG881,49,Teatro Colón-Univers. Laboral-A Barcala-Cambre-A Patiña-Os Campons,A1,#008DD2
XG881,50,Concello de Sada-Aeroporto de A Coruña-UDC (por Polígonos),D6,#2B2A29
XG881,51,Teatro Colón-San Pedro de Nós,B1,#008DD2
XG881,52,Teatro Colón-Oleiros (IES Miraflores),B3,#E31E23
XG881,53,Teatro Colón-San Pedro de Nós-Oleiros-Sada hotel Sada Palace,B6,#E31E23
